Sample Name	Parameter Value[Multiplex sample tag]	Library Name
IBD-7_1_PBMC		IBD-7_1_PBMC
IBD-7_2_PBMC		IBD-7_2_PBMC
IBD-8_1_PBMC		IBD-8_1_PBMC
IBD-8_2_PBMC		IBD-8_2_PBMC
HC-2_PBMC		HC-2_PBMC
IBD-7_1_CD4	Hashtag_1	IBD-7_IBD-8_HC-2_CD4
IBD-7_2_CD4	Hashtag_2	IBD-7_IBD-8_HC-2_CD4
IBD-8_1_CD4	Hashtag_3	IBD-7_IBD-8_HC-2_CD4
IBD-8_2_CD4	Hashtag_4	IBD-7_IBD-8_HC-2_CD4
HC-2_CD4		IBD-7_IBD-8_HC-2_CD4
IBD-10_1_PBMC		IBD-10_1_PBMC
IBD-10_2_PBMC		IBD-10_2_PBMC
IBD-9_1_PBMC		IBD-9_1_PBMC
IBD-9_2_PBMC		IBD-9_2_PBMC
HC-1_PBMC		HC-1_PBMC
IBD-10_1_CD4	Hashtag_1	IBD-10_IBD-9_HC-1_CD4
IBD-10_2_CD4	Hashtag_2	IBD-10_IBD-9_HC-1_CD4
IBD-9_1_CD4	Hashtag_3	IBD-10_IBD-9_HC-1_CD4
IBD-9_2_CD4	Hashtag_4	IBD-10_IBD-9_HC-1_CD4
HC-1_CD4		IBD-10_IBD-9_HC-1_CD4
IBD-1_1_PBMC		IBD-1_1_PBMC
IBD-1_2_PBMC		IBD-1_2_PBMC
IBD-5_1_PBMC		IBD-5_1_PBMC
IBD-5_2_PBMC		IBD-5_2_PBMC
HC-3_PBMC		HC-3_PBMC
IBD-3_1_PBMC		IBD-3_1_PBMC
IBD-3_2_PBMC		IBD-3_2_PBMC
IBD-4_1_PBMC		IBD-4_1_PBMC
IBD-4_2_PBMC		IBD-4_2_PBMC
HC-5_PBMC		HC-5_PBMC
IBD-3_1_CD4	Hashtag_1	IBD-3_IBD-4_HC-5_CD4
IBD-3_2_CD4	Hashtag_2	IBD-3_IBD-4_HC-5_CD4
IBD-4_1_CD4	Hashtag_3	IBD-3_IBD-4_HC-5_CD4
IBD-4_2_CD4	Hashtag_4	IBD-3_IBD-4_HC-5_CD4
HC-5_CD4		IBD-3_IBD-4_HC-5_CD4
IBD-2_1_PBMC		IBD-2_1_PBMC
IBD-2_2_PBMC		IBD-2_2_PBMC
IBD-6_1_PBMC		IBD-6_1_PBMC
IBD-6_2_PBMC		IBD-6_2_PBMC
HC-4_PBMC		HC-4_PBMC
IBD-2_1_CD4	Hashtag_1	IBD-2_IBD-6_HC-4_CD4
IBD-2_2_CD4	Hashtag_2	IBD-2_IBD-6_HC-4_CD4
IBD-6_1_CD4	Hashtag_3	IBD-2_IBD-6_HC-4_CD4
IBD-6_2_CD4	Hashtag_4	IBD-2_IBD-6_HC-4_CD4
HC-4_CD4		IBD-2_IBD-6_HC-4_CD4
