Sample Name	Protocol REF	Parameter Value[Dissociation method]	Parameter Value[Dissociation freetext]	Parameter Value[Removal debris]	Parameter Value[Removal dead cell]	Parameter Value[Removal ab cell]	Parameter Value[Cell fixation]	Parameter Value[Cell count]	Parameter Value[Cell viability]	Performer	Date	Protocol REF	Parameter Value[Library source]	Parameter Value[Library kit]	Parameter Value[QC cell load recovery]	Parameter Value[QC tape fragment size bp]	Parameter Value[QC kapa size corrected nM]	Parameter Value[Multiplex source]	Parameter Value[Multiplex sample]	Parameter Value[Multiplex sample tag]	Parameter Value[Library name Gene Expression]	Parameter Value[Library name Antibody Capture]	Parameter Value[Library name VDJ-T]	Parameter Value[Library name VDJ-B]	Parameter Value[Sclib freetext]	Performer	Date	Library Name	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Sequencing kit]
healthy1_unstim	Dissociation scRNAseq											Library construction totalSeq						FALSE	FALSE		GEX1_1	CITE1_1	TCR1_1					sample1	Nucleic acid sequencing scRNAseq			
healthy1_stim	Dissociation scRNAseq											Library construction totalSeq						FALSE	FALSE		GEX1_2	CITE1_2	TCR1_2					sample2	Nucleic acid sequencing scRNAseq			
IBD1_before_stim	Dissociation scRNAseq											Library construction totalSeq						FALSE	FALSE		GEX1_3	CITE1_3	TCR1_3					sample3	Nucleic acid sequencing scRNAseq			
IBD1_after_stim	Dissociation scRNAseq											Library construction totalSeq						FALSE	FALSE		GEX1_4	CITE1_4	TCR1_4					sample4	Nucleic acid sequencing scRNAseq			
HC01_PBMC	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				TRUE	TRUE	Hashtag_1	26T10B10B90T__SO075_013	26T10B10B90T__SO075_011	26T10B10B90T__SO075_015	26T10B10B90T__SO075_017				P4E2_PBMC	Nucleic acid sequencing scRNAseq			
HC01_CD4_unstim	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				FALSE	TRUE	Hashtag_3	26T10B10B90T__SO075_014	26T10B10B90T__SO075_012	26T10B10B90T__SO075_016	26T10B10B90T__SO075_018				P4E2_CD4	Nucleic acid sequencing scRNAseq			
HC01_CD4_stim	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				FALSE	TRUE	Hashtag_4	26T10B10B90T__SO075_014	26T10B10B90T__SO075_012	26T10B10B90T__SO075_016	26T10B10B90T__SO075_018				P4E2_CD4	Nucleic acid sequencing scRNAseq			
UC00_PBMC	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				TRUE	TRUE	Hashtag_2	26T10B10B90T__SO075_013	26T10B10B90T__SO075_011	26T10B10B90T__SO075_015	26T10B10B90T__SO075_017				P4E2_PBMC	Nucleic acid sequencing scRNAseq			
p27_1_PBMC	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				FALSE	FALSE		SP075_055_P27-1	SP075_038_P27-1	SP075_061_P27-1	SP075_067_P27-1				p27_1_PBMC	Nucleic acid sequencing scRNAseq			
p27_2_PBMC	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				FALSE	FALSE		SP075_056_P27-2	SP075_039_P27-2	SP075_062_P27-2	SP075_068_P27-2				p27_2_PBMC	Nucleic acid sequencing scRNAseq			
p28_1_PBMC	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				FALSE	FALSE		SP075_057_28-1	SP075_040_28-1	SP075_063_28-1	SP075_069_28-1				p28_1_PBMC	Nucleic acid sequencing scRNAseq			
p28_2_PBMC	Dissociation scRNAseq											Library construction totalSeq		SC5Pv2				FALSE	FALSE		SP075_058_28-2	SP075_041_28-2	SP075_064_28-2	SP075_070_28-2				p28_2_PBMC	Nucleic acid sequencing scRNAseq			
